Status,AdditionalListingInfo,MLSNumber,StreetDirPrefix,StreetDirSuffix,StreetName,StreetNumber,StreetSuffix,CurrentPrice,DOM,BathsTotal,BedsTotal,BathsFull,BathsHalf,SqFtTotal,LotSizeArea_Min,City,Age 
Sold,Not Applicable,ML81486013,,,RAVENDALE,3461,Court,385000,17,2,3,1,1,1249,1360,San Jose,46
Sold,Not Applicable,ML81471357,,,Saddle Brook,92,Drive,382000,15,1,2,1,0,816,871,San Jose,31
Sold,Not Applicable,ML81466602,,,Poas,121,Circle,380000,82,2,2,1,1,1000,871,San Jose,38
Sold,Not Applicable,ML81467851,,,Somerset Park,2660,Circle,380000,53,1,1,1,0,677,1742,San Jose,27
Sold,Not Applicable,ML81472956,,,Capay,4735,Drive,380000,15,1,2,1,0,903,,San Jose,45
Sold,Not Applicable,ML81484224,,,Warfield,2286,Way,380000,15,1,2,1,0,885,1078,San Jose,36
Sold,Not Applicable,ML81467940,,,Cribari Green,5469,Street,379000,23,2,2,2,0,1223,1664,San Jose,46
Sold,Not Applicable,ML81465595,,,Halford,1750,Avenue,378000,11,1,1,1,0,678,1554,Santa Clara,45
Sold,Not Applicable,ML81496988,E,,Saint John,797,Street,377000,4,3,4,3,0,1596,5531,San Jose,117
Sold,Not Applicable,ML81463401,,,Sagittarius,3269,Lane,375000,9,1,3,1,0,921,1460,San Jose,44
Sold,Not Applicable,ML81469478,,,Bianca,1530,Way,375000,8,2,2,2,0,1110,1307,Gilroy,12
Sold,Not Applicable,ML81469733,,,Velasco,467,Drive,375000,7,2,2,1,1,950,779,San Jose,45
Sold,Not Applicable,ML81471104,,,Grey Feather,5039,Circle,375000,38,1,2,1,0,816,435,San Jose,29
Sold,Not Applicable,ML81483844,,,Makati,5688,Circle,375000,8,1,1,1,0,690,924,San Jose,30
Sold,Not Applicable,ML81485540,,,Rosette,1514,Way,375000,10,2,2,2,0,1110,1036,Gilroy,12
Sold,Not Applicable,ML81497465,,,Kaiser,3033,Drive,373000,7,1,1,1,0,670,816,Santa Clara,44
Sold,Not Applicable,ML81483854,,,La Terrace,1626,Circle,372000,7,1,1,1,0,839,,San Jose,30
Sold,Not Applicable,ML81485096,,,Phelps,1369,Avenue,372000,14,1,2,1,0,840,1742,San Jose,52
Sold,REO / Bank Owned Property,ML81496781,,,Kenland,3152,Drive,372000,18,2,2,2,0,1012,1307,San Jose,28
Sold,Not Applicable,ML81458553,,,Kenbrook,352,Circle,370000,14,2,3,2,0,1094,1094,San Jose,28
Sold,Not Applicable,ML81471656,,,Senter,2664,Road,370000,13,2,2,2,0,1026,1026,San Jose,26
Sold,Not Applicable,ML81496541,,,Branham,1374,Lane,367000,9,1,2,1,0,798,,San Jose,45
Sold,Not Applicable,ML81498726,,,Tradan,1914,Drive,366000,7,1,1,1,0,906,1742,San Jose,28
Sold,Not Applicable,ML81469958,,,Yarwood,1187,Court,365000,29,1,1,1,0,658,1390,San Jose,27
Sold,Not Applicable,ML81472050,,,Kenland,3170,Drive,365000,9,2,2,2,0,1012,1307,San Jose,28
Sold,Not Applicable,ML81497040,,,Shadow Springs,3072,Place,365000,2,1,2,1,0,866,871,San Jose,30
Sold,Not Applicable,ML81497312,,,Devlin,659,Court,361000,12,1,1,1,0,720,927,San Jose,30
Sold,Not Applicable,ML81485535,S,,Bascom,3595,Avenue,360500,30,1,1,1,0,744,720,Campbell,31
Sold,Not Applicable,ML81499009,,,Senter,2664,Road,360100,7,2,2,2,0,1026,1026,San Jose,26
Sold,Not Applicable,ML81448948,,,Dempsey,404,Road,360000,16,1,2,1,0,842,842,Milpitas,8
Sold,Not Applicable,ML81468398,,,7 TREES,3819,Boulevard,360000,16,2,2,2,0,976,976,San Jose,35
