Status,AdditionalListingInfo,MLSNumber,Address,CurrentPrice,DOM,BathsTotal,BedsTotal,BathsFull,BathsHalf,SqFtTotal,LotSizeArea_Min,City,Age 
Active,Not Applicable,ML81521967,867 Boar Terrace,7888000,120,6,5,5,1,8050,127630,Fremont,9
Active,Not Applicable,ML81550695,115 Romero Road,7495000,23,5,4,3,2,3990,42854,Woodside,18
Active,Not Applicable,ML81562748,3 Vineyard Hill Road,7495000,8,6,4,5,1,5250,133729.2,Woodside,37
Pending,Not Applicable,ML81547840,245 Mountain Wood Lane,7250000,42,3,5,3,0,3550,131376.96,Woodside,59
Pending,Not Applicable,ML81548031,245 Lindenbrook Road,6950000,26,6,6,5,1,6890,355885.2,Woodside,24
Active,Not Applicable,ML81548164,1175 Barroilhet Drive,6888000,44,7,6,6,1,5950,22742.68,Hillsborough,35
Active,Not Applicable,ML81547216,172 Stockbridge Avenue,6700000,53,6,5,5,1,4430,27300,Atherton,69
Active,Not Applicable,ML81499154,418 Albion Avenue,6595000,211,4,4,4,0,4370,130323,Woodside,42
Active,Not Applicable,ML81533049,28 Selby Lane,6500000,110,2,2,1,1,1670,72522,Atherton,67
Active,Not Applicable,ML81522284,720 Jacaranda Circle,6475000,113,8,6,6,2,6809,28967,Hillsborough,38
Active,Not Applicable,ML81550343,428 Roblar Avenue,6375000,26,5,4,3,2,5950,19950,Hillsborough,79
Pending,Not Applicable,ML81547107,8 Reyna Place,6295000,44,7,4,4,3,7129,13250,Menlo Park,11
Active,Not Applicable,ML81563949,47 Ralston Road,6295000,1,4,4,4,0,4500,40001.15,Atherton,70
Pending,Not Applicable,ML81547259,551 Craig Road,5995000,25,6,5,5,1,5101,23250,Hillsborough,2
Contingent,Not Applicable,ML81550150,381 Family Farm Road,5995000,24,3,3,2,1,2930,132858,Woodside,51
Active,Not Applicable,ML81548180,452 Roblar Avenue,5895000,43,8,5,7,1,5283,24829,Hillsborough,80
Active,Not Applicable,ML81517523,2 Sierra Lane,5500000,155,4,3,3,1,4705,50530,Portola Valley,17
Pending,Not Applicable,ML81421777,LOT 8 Roberts Rd @ Fassler Ave ,5495000,304,5,5,4,1,4300,90665,Pacifica,
Active,Not Applicable,ML81521924,180 Hawthorne Drive,5250000,121,3,4,3,0,2630,40860,Atherton,65
Active,Not Applicable,ML81455864,762 Chateau Drive,5000000,355,6,5,5,1,5534,28111,Hillsborough,0
Active,Not Applicable,ML81562454,1439 Madera Way,5000000,11,5,6,4,1,3952,17998.99,Millbrae,52
Active,Not Applicable,ML81483867,20 Madrone Place,4999999,244,4,6,4,0,3660,21344,Hillsborough,54
Active,Not Applicable,ML81549422,140 Redwood Drive,4998000,33,5,4,4,1,4140,19375,Hillsborough,75
Active,Not Applicable,ML81548040,30 Mc Creery Drive,4950000,46,6,6,4,2,5120,21610.12,Hillsborough,48
Active,Not Applicable,ML81549713,10 Sheldon Way,4800000,29,4,3,3,1,4242,21780,Hillsborough,47
Pending,Not Applicable,ML81550488,35 Laureldale Road,4795000,10,6,4,4,2,4050,19170.76,Hillsborough,75
Active,Not Applicable,ML81562710,1208 Bellair Way,4795000,8,5,5,4,1,3430,12545.28,Menlo Park,4
Active,Not Applicable,ML81548805,302 Stevick Drive,4750000,39,3,3,2,1,2342,43560,Atherton,61
Active,Not Applicable,ML81501428,420 Cervantes Road,4700000,46,3,5,3,0,3910,43996,Portola Valley,54
Active,Not Applicable,ML81549507,16 Oak Tree Place,4688000,32,5,5,4,1,3985,16905.64,Hillsborough,5
Active,Not Applicable,ML81522681,1505 Black Mountain Road,4500000,113,5,6,5,0,5700,22352,Hillsborough,54
Active,Not Applicable,ML81549677,662 West Glen Way,4495000,29,6,3,5,1,4430,55756.8,Woodside,8
Pending,Not Applicable,ML81518484,330 Jane Drive,4488000,22,8,6,6,2,7930,130899,Woodside,27
Active,Not Applicable,ML81549465,1516 Los Montes Drive,4390000,33,6,5,4,2,5119,12653,Burlingame,0
Pending,Not Applicable,ML81548662,710 Hillsborough Boulevard,4275000,28,3,4,3,0,3270,22176.4,Hillsborough,53
Active,Not Applicable,ML81562648,150 North Street,4200000,322,3,4,3,0,3600,3476088,Pescadero,42
Pending,Not Applicable,ML81549696,18 Isabella Avenue,4195000,4,4,4,3,1,3647,16552.8,Atherton,65
Active,Not Applicable,ML81533966,8 La Strada Court,3999888,98,6,5,5,1,5800,12985,Burlingame,16
Active,Not Applicable,ML81462831,55 Irving Avenue,3999000,313,2,3,2,0,1870,42262,Atherton,61
Pending,Not Applicable,ML81498113,420 W Santa Inez Avenue,3999000,158,5,4,4,1,4695,16170,Hillsborough,81
Active,Not Applicable,ML81546989,260 Woodridge Road,3999000,54,6,5,5,1,6770,41556,Hillsborough,26
Pending,Not Applicable,ML81550727,1465 Crystal Drive,3998000,11,3,4,2,1,3454,22982.26,Hillsborough,37
Contingent,Not Applicable,ML81551153,9 Park Drive,3998000,19,6,4,5,1,3696,9593,Atherton,1
Active,Not Applicable,ML81549122,1224 Frontera Way,3990000,35,6,5,5,1,3832,10798.52,Millbrae,0
Active,Not Applicable,ML81547301,5000 Alpine Road,3950000,175,4,4,3,1,3065,1089000,Portola Valley,46
Active,Not Applicable,ML81519228,40 Sugar Hill Drive,3895000,144,5,4,4,1,4980,29302,Hillsborough,27
Active,Not Applicable,ML81461750,222 Portola State Park Road,3888000,319,2,2,2,0,1300,1647570,La Honda,40
Active,Not Applicable,ML81562599,418 W Maple Way,3875000,11,4,4,3,1,3897,74923.2,Woodside,32
Pending,Not Applicable,ML81561657,20 Politzer Drive,3798000,9,4,5,4,0,2880,10260,Menlo Park,58
Contingent,Not Applicable,ML81547706,5 Colton Court,3795000,42,5,5,4,1,6500,20288,Redwood City,10
Active,Not Applicable,ML81513899,45 Berryessa Way,3780000,178,2,3,2,0,2730,86684,Hillsborough,38
Active,Not Applicable,ML81562353,5 Arbol Grande Court,3749000,12,3,4,3,0,3496,7560,Menlo Park,28
Active,Not Applicable,ML81548628,590 Remillard Drive,3688000,40,4,3,3,1,3100,21605,Hillsborough,59
Pending,Not Applicable,ML81561393,508 Roehampton Road,3680000,17,5,4,4,1,3130,16392,Hillsborough,80
Contingent,Not Applicable,ML81562473,2001 Camino a los Cerros ,3650000,0,5,4,4,1,2892,7000,Menlo Park,0
Active,Not Applicable,ML81522570,1994 Valparaiso Avenue,3550000,116,4,4,3,1,3134,7275,Menlo Park,0
Active,Not Applicable,ML81550465,19 Almendral Avenue,3499000,25,5,4,4,1,3810,6751.8,Atherton,13
Active,Not Applicable,ML81561670,50 Cornell Road,3499000,15,4,4,3,1,2350,5692,Menlo Park,0
Active,Not Applicable,ML81563914,10 Cordova Court,3495000,1,4,5,3,1,3650,73180.8,Portola Valley,61
Active,Not Applicable,ML81561655,535 Saint Francis Place,3488000,15,3,6,3,0,2661,11000,Menlo Park,59
Active,Not Applicable,ML81562754,5 Oak Forest Court,3488000,8,5,4,4,1,4210,66287,Portola Valley,21
Active,Not Applicable,ML81518030,20 Tevis Place,3450000,152,4,5,3,1,3540,22651,Hillsborough,40
Active,Not Applicable,ML81548836,1242 Edgewood ,3450000,39,4,4,4,0,3640,10000,Redwood City,1
Active,Not Applicable,ML81562440,40 Danford Court,3299950,12,5,5,4,1,4280,26823,Redwood City,11
Pending,Not Applicable,ML81548917,785 W CALIFORNIA Way,3295000,10,3,4,2,1,3820,40075,Woodside,31
Active,Not Applicable,ML81563570,44 Mccormick Lane,3295000,5,4,5,4,0,3940,43560,Atherton,57
Pending,Not Applicable,ML81550487,9 Bishop Lane,3275000,13,4,4,3,1,3265,7000,Menlo Park,0
Pending,Not Applicable,ML81562625,1020 Siskiyou Drive,3200000,9,3,3,2,1,2240,16060.57,Menlo Park,51
Pending,Not Applicable,ML81562651,244 Roblar Avenue,3195000,9,4,4,4,0,2235,13503.6,Hillsborough,68
Pending,Not Applicable,ML81562787,25 Hallmark Circle,3195000,4,3,2,2,1,2680,3249.58,Menlo Park,30
Active,Not Applicable,ML81563901,49 Douglass Way,3195000,2,2,3,2,0,2030,27600,Atherton,64
Active,Not Applicable,ML81548175,2051 Valparaiso Avenue,3188000,43,3,4,3,0,2528,6000,Menlo Park,0
Active,Not Applicable,ML81563757,340 Barbara Way,3150000,4,4,4,4,0,3164,22498.74,Hillsborough,63
Active,Not Applicable,ML81561431,1332 Hoover Street,3050000,18,4,4,4,0,2094,5000,Menlo Park,3
Pending,Not Applicable,ML81547069,1520 Oak Rim Drive,3000000,21,4,4,4,0,3012,19166.4,Hillsborough,60
Active,Not Applicable,ML81562719,60 Ensenada Road,2999800,8,6,5,4,2,3566,8110.87,San Carlos,10
Pending,Not Applicable,ML81547682,370 Conil Way,2999000,36,4,4,3,1,3890,24999.08,Portola Valley,37
Pending,New Subdivision,ML81521640,28 Rossi Lane,2998000,0,5,4,4,1,2650,8200,Redwood City,0
Pending,Not Applicable,ML81561647,890 Ringwood Avenue,2998000,10,2,2,2,0,2110,28165.9,Menlo Park,67
Active,Not Applicable,ML81563939,10 Cotton Place,2998000,1,3,3,3,0,2430,10558.94,Menlo Park,68
Active,Not Applicable,ML81563450,2969 Churchill Drive,2988000,5,3,4,3,0,3160,22651.2,Hillsborough,38
Active,Not Applicable,ML81562769,1520 Hoover Avenue,2985000,8,3,4,2,1,2347,6000,Burlingame,96
Pending,Not Applicable,ML81483871,35 Bel Aire Court,2980000,317,4,4,3,1,4181,22475,Hillsborough,37
Pending,Not Applicable,ML81548176,2980 Sand Hill Road,2975000,11,3,3,2,1,2380,17575,Menlo Park,47
Active,Not Applicable,ML81562753,920 Olive Street,2950000,8,3,3,2,1,1740,10863.86,Menlo Park,60
Pending,Not Applicable,ML81548440,48 Fairway Place,2900000,10,4,4,3,1,4020,11003.26,Half Moon Bay,28
Active,Not Applicable,ML81548791,344 Alameda De Las Pulgas ,2900000,39,6,4,5,1,3720,13939,Redwood City,75
Contingent,Not Applicable,ML81562706,1277 Balboa Avenue,2900000,4,4,4,4,0,2772,5000,Burlingame,7
Active,Not Applicable,ML81546725,548 Palmer Lane,2899000,145,5,7,4,1,3840,10080,Menlo Park,32
Pending,Not Applicable,ML81497011,47993 Avalon Heights Terrace,2888000,193,5,5,4,1,4750,22610,Fremont,17
Active,Not Applicable,ML81562418,1301 Millbrae Avenue,2888000,11,5,5,4,1,3771,9740.02,Millbrae,8
Pending,Not Applicable,ML81548003,503 Arlington Road,2875000,27,3,5,2,1,3390,13799.81,Redwood City,85
Active,Not Applicable,ML81550422,16 Biltmore Lane,2875000,26,3,3,2,1,2530,2482,Menlo Park,29
Pending,Not Applicable,ML81547651,638 Oregon Avenue,2850000,15,4,4,3,1,2512,6000,San Mateo,68
Active,Not Applicable,ML81501406,839 Linda Vista Street,2849000,197,4,5,4,0,4670,290980,Moss Beach,30
Active,Not Applicable,ML81548803,775 Bowhill Road,2849000,39,4,4,3,1,3360,31200,Hillsborough,58
Active,Not Applicable,ML81549442,1250 Miramontes Street,2800000,33,2,3,2,0,2012,1460566.8,Half Moon Bay,28
Active,Not Applicable,ML81563941,339 Cedar Street,2795000,1,3,4,3,0,2923,5400,San Carlos,0
Active,Not Applicable,ML81550964,47849 Avalon Heights Terrace,2788888,21,4,4,3,1,3083,21666.74,Fremont,18
Active,Not Applicable,ML81521945,45 Calaveras Court,2788000,120,3,4,2,1,2450,178160,Hillsborough,40
Pending,Not Applicable,ML81561502,548 Island Place,2758800,10,4,4,3,1,3150,13900,Redwood Shores,24
Pending,Not Applicable,ML81547123,283 Leland Avenue,2699000,19,3,5,2,1,2559,5650,Menlo Park,10
Active,Not Applicable,ML81561652,525 El Arroyo Road,2682000,15,3,4,3,0,3270,14375,Hillsborough,64
Pending,Not Applicable,ML81485626,1365 Lakeview Drive,2680000,54,4,4,2,2,2770,24394,Hillsborough,41
Active,Not Applicable,ML81545844,125 Alturas Drive,2680000,64,4,4,3,1,2870,12816,Burlingame,88
Active,Not Applicable,ML81549080,328 W Oakwood Boulevard,2668000,29,5,4,4,1,3063,7108,Redwood City,0
Active,Not Applicable,ML81561530,579 Old La Honda Road,2650000,18,3,4,3,0,3364,115434,Woodside,53
Active,Not Applicable,ML81563152,236 Selby Lane,2650000,6,3,4,3,0,2600,10001.38,Atherton,53
Contingent,Not Applicable,ML81547947,742 Costa Rica Avenue,2649000,45,2,3,2,0,2560,9400.25,San Mateo,90
Active,Not Applicable,ML81547777,3708 Raboli Street,2599999,47,6,5,4,2,5808,23304.6,Pleasanton,15
Active,Not Applicable,ML81563907,5 Tiara Court ,2599888,1,4,4,3,1,3780,16060,Burlingame,37
Pending,Not Applicable,ML81549447,934 Wilmington Way ,2599000,8,4,4,3,1,3280,22500,Redwood City,26
Active,Not Applicable,ML81563589,1180 Millbrae Avenue,2599000,4,4,5,4,0,3970,19201.25,Millbrae,51
Pending,Not Applicable,ML81546550,1350 Johnson Street,2598000,28,2,3,2,0,1560,5749.92,Menlo Park,77
Active,Not Applicable,ML81461214,7749 Country ,2595000,321,9,5,4,5,8016,108900,Pleasanton,39
Active,Not Applicable,ML81520699,1103 Weeks Street,2500000,62,2,3,2,0,1865,6970,East Palo Alto,74
Active,Not Applicable,ML81563469,50 Mission Drive,2500000,5,3,3,3,0,2200,10863.86,San Mateo,66
Active,Not Applicable,ML81563539,226 Saint Nicholas Court,2500000,5,4,4,4,0,4483,10069,Fremont,1
Active,Not Applicable,ML81561460,3371 Dover Road,2499888,18,4,4,3,1,3690,7200,Redwood City,1
Active,Not Applicable,ML81562633,1406 Rainbow Drive,2498000,10,4,5,4,0,3550,21540,San Mateo,16
Active,Not Applicable,ML81549649,750 El Camino Real ,2495000,20,3,4,2,1,2500,12600,Atherton,66
Active,Not Applicable,ML81563945,979 Santa Cruz Avenue,2495000,1,3,3,3,0,1684,,Menlo Park,17
Pending,Not Applicable,ML81516894,2100 Lobitos Creek Road,2488000,129,6,6,4,2,3400,8039869,Half Moon Bay,24
Pending,Not Applicable,ML81561661,835 Paulson Circle,2488000,10,3,4,2,1,2300,4594,Menlo Park,8
Active,Not Applicable,ML81458055,3577 Little Valley Road,2480000,245,5,5,5,0,7600,152782,Sunol,34
Active,Not Applicable,ML81550387,190 Dolton Avenue,2475000,26,4,5,3,1,3710,12911.18,San Carlos,54
Active,Not Applicable,ML81520909,2656 Summit Drive,2465000,130,5,4,3,2,3060,39509,Burlingame,46
Pending,Not Applicable,ML81549595,4 Ohlone Street,2450000,13,3,3,2,1,2420,21344.4,Portola Valley,30
Pending,Not Applicable,ML81549658,12 Kenmar Way,2450000,10,4,4,3,1,3688,10960,Burlingame,62
Pending,Not Applicable,ML81550469,90 Skywood Way,2450000,13,4,4,4,0,4140,75881.52,Woodside,57
Active,Not Applicable,ML81561268,15 Ashdown Place,2400000,19,4,4,3,1,4250,10005.73,Half Moon Bay,29
Pending,Not Applicable,ML81561420,1313 De Soto Avenue,2398000,6,3,4,3,0,2680,5000,Burlingame,14
Pending,Not Applicable,ML81548194,24 Nancy Way,2395000,10,3,4,3,0,2358,7309.37,Menlo Park,61
Active,Not Applicable,ML81563770,1921 Hillside Drive,2395000,4,2,4,2,0,2222,6000,Burlingame,89
Active,Not Applicable,ML81561573,112 Felton Drive,2365000,17,3,3,3,0,1780,9600,Menlo Park,69
Active,Not Applicable,ML81563895,38 Aragon Boulevard,2360000,2,4,6,4,0,2614,6040,San Mateo,87
Active,Not Applicable,ML81561435,1620 Coronado Way,2350000,18,3,4,3,0,2400,5500,Burlingame,68
Pending,Not Applicable,ML81546860,526 Marin Drive,2320999,40,3,4,3,0,3055,6250,Burlingame,66
Active,Not Applicable,ML81562528,128 Scenic Drive,2299000,11,3,4,3,0,3820,11125.22,Redwood City,86
Active,Not Applicable,ML81549667,249 E Oakwood Boulevard,2298000,29,3,4,3,0,2897,6578,Redwood City,1
Active,Not Applicable,ML81561739,1207 Danmann Avenue,2298000,8,4,4,4,0,3480,5161.86,Pacifica,12
Pending,Not Applicable,ML81534846,99 Nevada Street,2295000,32,3,4,3,0,2500,8710,Redwood City,69
Pending,Not Applicable,ML81549689,27 Nancy Way,2295000,12,2,2,2,0,1520,7533,Menlo Park,64
Pending,Not Applicable,ML81550337,124 Pepper Avenue,2295000,13,3,3,2,1,2110,11900.59,Burlingame,84
Active,Not Applicable,ML81562650,465 Cornell Avenue,2288000,10,4,3,3,1,2450,6825.85,San Mateo,83
Pending,Not Applicable,ML81534488,1391 La Honda Road,2250000,229,4,4,3,1,3560,164221.2,Woodside,14
Active,Not Applicable,ML81561308,142 Pecora Way,2250000,19,3,4,2,1,2470,20037.6,Portola Valley,56
Pending,Not Applicable,ML81561461,715 Arlington Road,2250000,13,3,5,3,0,3756,7213.54,Redwood City,28
Active,New Subdivision,ML81546420,115 Carnoustie Drive,2225000,60,4,4,3,1,3584,8109,Half Moon Bay,0
Active,Not Applicable,ML81562090,4447 La Honda Road,2200000,13,4,3,3,1,3130,298429.56,San Gregorio,38
Pending,Not Applicable,ML81562468,1621 Balboa Way,2199000,8,4,4,3,1,3020,5500,Burlingame,46
Pending,Not Applicable,ML81561656,630 La Mesa Drive,2195000,9,2,4,2,0,1860,9900,Portola Valley,61
Active,Not Applicable,ML81562761,255 Robin Way,2195000,8,2,4,2,0,1870,5061.67,Menlo Park,65
Pending,Not Applicable,ML81550181,756 Santa Margarita Avenue,2150000,9,4,4,4,0,2455,5600,Millbrae,67
Active,Not Applicable,ML81548166,1220 Millbrae Avenue,2148000,44,5,4,3,2,3850,30000,Millbrae,57
Pending,Not Applicable,ML81548899,200 Rockridge Road,2125000,17,4,4,3,1,3000,8171.86,San Carlos,68
Active,Not Applicable,ML81562099,500 Walnut Street,2100000,13,1,2,1,0,1080,5250,San Carlos,99
Active,Not Applicable,ML81522355,72 OAK VALLEY Road,2099888,117,2,4,2,0,2800,39000,San Mateo,52
Active,Not Applicable,ML81562066,1436 Balboa Avenue,2099000,13,3,4,3,0,2790,7000.09,Burlingame,90
Active,Not Applicable,ML81562463,1631 Ascension Drive,2099000,11,4,5,3,1,2360,14082.95,San Mateo,46
Active,Not Applicable,ML81561327,9043 Broadway Terrace ,2095000,19,4,4,3,1,3444,5071,Oakland,8
Active,Not Applicable,ML81563913,12 Berenda Way,2095000,1,2,3,2,0,1680,8799.12,Portola Valley,67
Pending,Not Applicable,ML81561442,31 Foss Drive,2053000,5,3,3,3,0,2880,5850.11,Redwood City,46
Pending,Not Applicable,ML81548706,325 Britto Terrace,2049000,34,4,5,4,0,4006,11730.71,Fremont,32
Active,Not Applicable,ML81562624,42 Biltmore Lane,2049000,10,3,3,2,1,2530,2482,Menlo Park,29
Active,Not Applicable,ML81549700,508 San Benito Avenue,2048000,29,2,3,2,0,2500,9901.19,Menlo Park,91
Active,Not Applicable,ML81561650,20 Dunne Court,2038000,15,4,4,3,1,2580,6141.96,Menlo Park,26
Active,Not Applicable,ML81563940,4 Ashdown Place,2000000,1,3,4,3,0,4900,13599.43,Half Moon Bay,9
Active,Not Applicable,ML81562450,42702 Loma Drive,1999999,39,5,5,4,1,3419,8115.23,Fremont,6
Active,Not Applicable,ML81562714,400 Devonshire Boulevard,1999999,8,3,3,2,1,2350,19696,San Carlos,38
Active,Not Applicable,ML81550022,21 Fairview Place,1999000,26,3,5,3,0,2970,7562.02,Millbrae,62
Pending,Not Applicable,ML81535139,41371 Whitecrest Court,1998888,47,3,4,3,0,2754,14788.62,Fremont,55
Active,Not Applicable,ML81462057,354 Dorado Way,1998000,318,5,3,4,1,5103,23000,South San Francisco,3
Pending,Not Applicable,ML81521692,123-125 Bloomfield Road,1998000,84,3,5,3,0,2960,7500,Burlingame,105
Contingent,Not Applicable,ML81548246,2150 Ward Way,1998000,21,3,4,3,0,2770,21971,Woodside,61
Pending,Not Applicable,ML81561331,2000 Ray Drive,1998000,14,3,5,3,0,2283,5824,Burlingame,68
Pending,Not Applicable,ML81522574,26 Mansion Court,1995000,79,3,2,2,1,2780,377070,Menlo Park,40
Active,Not Applicable,ML81547103,2 Chateau Drive,1995000,53,3,3,3,0,2020,2376,Menlo Park,36
Pending,Not Applicable,ML81548965,127 W 38th Avenue,1988000,35,5,4,4,1,2760,5002,San Mateo,96
Active,Not Applicable,ML81550047,15 Crown Court,1988000,27,3,4,2,1,2890,10031.87,San Mateo,38
Active,Not Applicable,ML81550299,1212 Hillcrest Boulevard,1988000,26,3,4,3,0,2423,5544,Millbrae,75
Active,Not Applicable,ML81550479,369 Greendale Way,1988000,25,4,3,3,1,2180,9225,Redwood City,13
Active,Not Applicable,ML81562741,372 El Camino Real ,1955000,8,2,2,2,0,1330,8500,Atherton,94
Pending,Not Applicable,ML81534337,163 Elderberry Lane,1950000,35,3,5,3,0,2995,6628,Brisbane,1
Active,Not Applicable,ML81547966,952 Driscoll Road,1950000,46,8,8,7,1,4076,21313.91,Fremont,41
Active,Not Applicable,ML81548188,18 Dwight Road,1950000,43,3,4,3,0,2460,5797.84,Burlingame,89
Contingent,Not Applicable,ML81548945,738 Winchester Drive,1950000,22,3,4,2,1,2560,6000,Burlingame,86
Pending,Not Applicable,ML81550210,462 Scott Street,1950000,13,5,4,4,1,3370,5500,Fremont,1
Pending,Not Applicable,ML81550342,2428 Whipple Avenue,1950000,13,3,3,3,0,2570,8450.64,Redwood City,88
Active,Not Applicable,ML81562508,1150 Oxford Road,1950000,11,2,3,2,0,2400,8189.28,Burlingame,77
Active,Not Applicable,ML81563394,1536 La Mesa Drive,1950000,5,2,3,2,0,2250,10201.75,Burlingame,54
Active,Not Applicable,ML81563934,331 Nova Lane,1950000,1,2,4,2,0,1802,6098.4,Menlo Park,65
Active,Not Applicable,ML81562700,1950 Palo Alto Way,1949000,8,2,4,2,0,1550,6751.8,Menlo Park,66
Active,Not Applicable,ML81563425,1511 Ralston Avenue,1948000,5,5,4,4,1,2670,16239.17,Belmont,74
Pending,Not Applicable,ML81561376,46180 Sentinel Drive,1899950,15,3,5,3,0,3986,24014.63,Fremont,36
Contingent,Not Applicable,ML81548975,23 Carver Lane,1899800,9,3,5,2,1,2959,217800,Sunol,41
Active,Not Applicable,ML81550913,642 Jonhston Street,1899000,21,3,3,3,0,1950,5000,Half Moon Bay,22
Active,Not Applicable,ML81561654,219 Frances Lane,1899000,15,3,4,3,0,2400,13503.6,San Carlos,50
Pending,Not Applicable,ML81561676,12 Patterson Avenue,1898000,10,2,3,2,0,1300,6670,Menlo Park,63
Active,Not Applicable,ML81563909,709 Rainsong Lane,1895000,1,3,4,2,1,2280,3835,Redwood Shores,18
Active,Not Applicable,ML81562068,296 Hillview Avenue,1890000,13,3,4,2,1,2650,8970,Redwood City,39
Pending,Not Applicable,ML81548822,44190 Boitano Drive,1888888,12,4,4,3,1,3139,12446,Fremont,27
Pending,Not Applicable,ML81561411,227 Seville Way,1879000,8,2,3,2,0,1904,6050.48,San Mateo,81
Active,Not Applicable,ML81546394,708 Prescott Lane,1877000,59,3,4,2,1,2350,5201.06,Foster City,37
Active,Not Applicable,ML81549621,1402 Melbourne St ,1875000,31,3,5,2,1,2290,5478,Foster City,31
Active,Not Applicable,ML81562470,50 Avondale Avenue,1870000,11,4,4,3,1,3018,6394,Redwood City,6
Pending,Not Applicable,ML81550696,240 Kimberwood Court,1858800,12,4,4,3,1,2909,11900.59,Fremont,22
