Status,AdditionalListingInfo,MLSNumber,StreetDirPrefix,StreetDirSuffix,StreetName,StreetNumber,StreetSuffix,CurrentPrice,DOM,BathsTotal,BedsTotal,BathsFull,BathsHalf,SqFtTotal,LotSizeArea_Min,City,Age 
Pending,REO / Bank Owned Property,ML81547751,,,Jasmine,3645,Circle,744900,15,3,3,2,1,1346,1400,San Jose,16
Pending,REO / Bank Owned Property,ML81561671,S,,22nd,677,Street,742000,7,3,4,2,1,2250,3124,San Jose,10
Active,Not Applicable,ML81563212,,,Bradwell,133,Court,739950,6,2,4,2,0,1474,7501.03,San Jose,37
Contingent,Not Applicable,ML81547787,,,Turnberry,7543,Way,739888,13,3,5,2,1,2594,3232.15,Gilroy,13
Active,Not Applicable,ML81562031,,,Spring Valley,274,Lane,739888,14,2,3,2,0,1020,5998.21,Milpitas,45
Pending,Not Applicable,ML81519799,,,Dixon,187,Road,739500,83,3,4,3,0,1809,6242,Milpitas,57
Contingent,Not Applicable,ML81550610,,,Falkirk,7654,Drive,739500,3,3,2,2,1,1751,2400.16,San Jose,28
Pending,Not Applicable,ML81548011,,,Campoli,130,Drive,739000,77,3,3,2,1,1890,4552.02,Morgan Hill,0
Pending,Not Applicable,ML81551110,,,Cereza,301,Place,739000,7,3,2,2,1,1400,931,San Jose,13
Pending,Not Applicable,ML81562389,,,Helmsdale,7571,Court,739000,8,2,2,2,0,1572,,San Jose,28
Active,Not Applicable,ML81562402,,,Lewis,208,Road,739000,12,3,3,2,1,1808,2195.42,San Jose,10
Active,Not Applicable,ML81563779,,,American Oak,8662,Drive,739000,4,3,2,2,1,1675,2243.34,San Jose,24
Active,Not Applicable,ML81548963,,,Selva,3311,Drive,738888,37,2,4,2,0,1788,6200,San Jose,49
Pending,Not Applicable,ML81549238,S,,Garland,688,Terrace,738888,8,2,2,1,1,1122,720,Sunnyvale,42
Pending,Not Applicable,ML81550920,W,,Middlefield,905,Road,738888,10,2,2,2,0,998,2400,Mountain View,38
Active,Not Applicable,ML81562865,,,Agatha,3912,Way,738888,8,2,4,2,0,1812,6050,San Jose,40
Active,Not Applicable,ML81564099,,,Cahalan,5953,Avenue,738888,1,2,4,2,0,1350,6298.78,San Jose,45
Active,Not Applicable,ML81562823,,,Macedo,4268,Place,738880,8,3,3,2,1,1199,1579,Santa Clara,15
Contingent,Not Applicable,ML81545624,,,Zinnia,8861,Street,737700,44,5,5,4,1,2807,6019.99,Gilroy,15
Pending,Not Applicable,ML81546501,,,Southfield,34,Court,735000,22,3,4,2,1,1521,5000.69,San Jose,33
Active,Not Applicable,ML81549856,W,,Bayshore,2460,Road,735000,28,1,2,1,0,906,1950,Palo Alto,44
Pending,Not Applicable,ML81562299,,,Prestwick,7831,Circle,735000,1,2,2,2,0,1804,435,San Jose,27
Active,Not Applicable,ML81564062,,,O'Brien,1064,Court,735000,1,1,2,1,0,1321,5005.04,San Jose,79
Pending,Not Applicable,ML81515914,,,CHALLENGER,251,Avenue,734000,128,3,6,3,0,2125,6000,San Jose,56
Active,Not Applicable,ML81562798,,,Beech,2184,Circle,732888,8,3,3,3,0,1536,1668.35,San Jose,8
Contingent,Not Applicable,ML81547434,,,Snell,1832,Place,730000,8,2,3,2,0,1359,435.6,Milpitas,6
Pending,Not Applicable,ML81549747,,,Limewell,94,Court,730000,9,2,3,2,0,1488,5600,San Jose,36
Pending,Not Applicable,ML81551012,S,,San Tomas Aquino,833,Road,730000,14,2,2,2,0,1500,1065,Campbell,35
Active,Not Applicable,ML81564050,,,Flint,2823,Avenue,729999,1,2,4,2,0,1336,6630,San Jose,43
Pending,Not Applicable,ML81548120,,,Moraine,2439,Drive,729888,12,1,3,1,0,1150,5300,Santa Clara,62
Pending,Not Applicable,ML81549225,,,Illsley,4466,Court,729000,14,2,4,2,0,1581,6410,San Jose,37
Contingent,Not Applicable,ML81562458,,,Tassajara,17122,Circle,729000,4,2,3,2,0,1629,4800.31,Morgan Hill,28
Active,Not Applicable,ML81562934,W,,Rincon,134,Avenue,729000,7,3,2,2,1,1319,1263.24,Campbell,36
Pending,Not Applicable,ML81562304,,,Torres,1199,Avenue,728888,4,2,3,2,0,1398,5663,Milpitas,45
Active,Not Applicable,ML81549329,N,,N Capitol,1412,Avenue,728888,6,2,3,2,0,1260,7196.11,San Jose,51
Pending,Not Applicable,ML81550442,,,Lorient,1622,Terrace,728800,14,3,3,2,1,1778,1778,San Jose,9
Pending,Not Applicable,ML81547397,,,Fire Walk,830,,727000,9,3,3,2,1,1353,1307,Milpitas,16
Pending,Not Applicable,ML81561943,,,Cheyenne,515,Lane,725800,0,2,3,2,0,1208,6076.62,San Jose,51
Contingent,Not Applicable,ML81497332,,,Lick,1375,Avenue,725000,62,2,2,2,0,1233,1471,San Jose,6
Pending,Not Applicable,ML81561930,,,Starcrest,5484,Drive,725000,10,2,3,2,0,1354,6440,San Jose,54
Active,Not Applicable,ML81561979,,,Grandview,764,Terrace,725000,14,3,3,3,0,1522,,San Jose,4
Active,Not Applicable,ML81563322,,,Pontiac,5756,Drive,725000,6,2,3,2,0,1347,6198.59,San Jose,53
Active,Not Applicable,ML81563557,,,Calero,530,Avenue,725000,5,2,3,2,0,1208,6089.69,San Jose,50
Active,Not Applicable,ML81547686,,,Lusitano,154,Way,724999,48,3,5,3,0,2216,5065,Gilroy,2
Pending,Not Applicable,ML81548519,,,Sunrose,902,Terrace,724888,8,2,2,2,0,1277,1332,Sunnyvale,22
Pending,Not Applicable,ML81561888,,,Foxworthy,868,Avenue,724868,9,3,3,2,1,1589,1350.36,San Jose,13
Active,Court Confirmation May Be Req'd,ML81562571,,,Crater Lake,1829,Avenue,720000,11,2,3,2,0,1367,5227,Milpitas,49
Contingent,Potential Short Sale / Lender Appr Required,ML81517061,,,Sunrise,1550,Drive,719950,75,3,3,2,1,2602,6000,Gilroy,15
Pending,Not Applicable,ML81549898,,,Tuscolana,3112,Way,719900,10,3,3,2,1,1589,1350,San Jose,13
Active,Not Applicable,ML81562815,,,Tawnygate,1644,Way,719000,8,2,2,2,0,1105,3811.5,San Jose,45
Active,Not Applicable,ML81562937,,,Danna,454,Court,719000,7,3,3,2,1,1457,3213,San Jose,18
Pending,Not Applicable,ML81548862,,,Park Grove,1230,Drive,718888,13,2,3,2,0,1182,5998.21,Milpitas,54
Pending,Not Applicable,ML81549169,,,Crest,344,Drive,718000,16,3,2,2,1,1411,8145,San Jose,67
Pending,Not Applicable,ML81550993,,,Learnard,8720,Way,718000,10,3,3,2,1,1974,8890.6,Gilroy,29
Pending,Not Applicable,ML81561305,,,Greenwich,1327,Court,715000,13,3,2,2,1,1445,1376.5,San Jose,35
Active,Not Applicable,ML81563404,,,Via Anacapa,7041,,715000,5,2,4,2,0,1494,7080,San Jose,41
Pending,Not Applicable,ML81548940,,,Rocktree,1788,Court,714888,11,2,3,2,0,1041,5797.84,San Jose,43
Active,Not Applicable,ML81547271,,,Allegado,1409,Alley,710888,52,3,2,2,1,1860,1598.65,San Jose,13
Pending,Not Applicable,ML81548152,,,Bluefield,354,Drive,710000,11,2,3,2,0,1260,5501.63,San Jose,48
Pending,Not Applicable,ML81562062,,,Rancho Mccormick,2175,Boulevard,710000,10,2,2,2,0,1475,1751.11,Santa Clara,32
Pending,Not Applicable,ML81550836,N,,24th,286,Street,709900,0,3,4,3,0,1932,6300,San Jose,70
Pending,Not Applicable,ML81550443,S,,White,3085,Road,708950,0,3,5,2,1,1936,6298.78,San Jose,48
Pending,Not Applicable,ML81550755,,,Paddon,5897,Circle,708000,4,2,3,2,0,1675,6300,San Jose,48
Pending,Potential Short Sale / Lender Appr Required,ML81521037,,,Abelia,3030,Court,705000,34,3,4,3,0,2368,8276,San Jose,39
Pending,Not Applicable,ML81561825,,,Old Mill,6605,Court,704000,2,2,3,2,0,1354,1846.94,San Jose,39
Pending,Potential Short Sale / Lender Appr Required,ML81462402,,,Pronto,770,Drive,700000,2,2,4,2,0,1846,5663,San Jose,43
Active,Not Applicable,ML81463069,,,Auzerais,786,,700000,312,1,3,1,0,1064,4800,San Jose,99
Pending,Potential Short Sale / Lender Appr Required,ML81545239,,,Camelot,15184,Drive,700000,0,2,3,2,0,2510,32338.94,San Jose,43
Pending,Not Applicable,ML81551098,,,Zucchini,1110,Terrace,700000,7,3,2,2,1,1342,,San Jose,4
Pending,Not Applicable,ML81562578,N,,King,859,Road,700000,6,3,3,2,1,1871,1873.08,San Jose,9
Active,Not Applicable,ML81563655,,,Pepitone,1004,Avenue,700000,4,2,3,2,0,1414,6345,San Jose,63
Pending,Not Applicable,ML81550454,,,Ballymore,343,Circle,699999,8,3,4,3,0,1568,1568,San Jose,19
Active,Not Applicable,ML81562451,,,Reinert,2200,Road,699999,11,1,2,1,0,891,989,Mountain View,35
Active,Not Applicable,ML81563569,,,Lakeview,17240,Drive,699980,5,2,4,2,0,2053,22651,Morgan Hill,43
Pending,"Continue to Show, Release Clause Present, Potential Short Sale / Lender Appr Required",ML81433204,,,VISTA DEL MONTE,9205,Court,699950,111,3,3,2,1,2096,49223,Gilroy,40
Pending,Not Applicable,ML81547475,,,King George,512,Avenue,699950,23,4,3,3,1,1690,1690,San Jose,16
Pending,Court Confirmation May Be Req'd,ML81548020,N,,2nd,740,Street,699950,5,1,2,1,0,1324,6899.9,San Jose,87
Pending,Not Applicable,ML81548329,,,Grandpark,336,Circle,699950,8,2,3,2,0,1350,5501.63,San Jose,48
Pending,Not Applicable,ML81550137,,,Vista Del Valle,3643,,699950,6,4,3,4,0,2700,13198.68,San Jose,42
Contingent,Court Confirmation May Be Req'd,ML81550817,,,Tower Hill,417,Avenue,699950,12,3,3,2,1,2099,1080,San Jose,14
Active,Not Applicable,ML81562552,,,Mente Linda,776,Loop,699950,11,2,3,2,0,1371,435,Milpitas,9
Pending,Not Applicable,ML81562649,,,Polvadero,6994,Drive,699950,5,2,3,1,1,1379,6599.34,San Jose,45
