Status,AdditionalListingInfo,MLSNumber,StreetDirPrefix,StreetDirSuffix,StreetName,StreetNumber,StreetSuffix,CurrentPrice,DOM,BathsTotal,BedsTotal,BathsFull,BathsHalf,SqFtTotal,LotSizeArea_Min,City,Age 
Sold,Not Applicable,ML81547403,,,Swallowtail,633,Court,780000,11,2,3,2,0,1550,17402.22,Brisbane,16
Sold,Not Applicable,ML81512459,,,Barrington,2208,Court,778000,17,3,4,2,1,1670,2050,South San Francisco,42
Sold,Not Applicable,ML81533223,,,Mesa Verde,3855,Court,777000,54,2,3,2,0,1549,6069,Pleasanton,45
Sold,Not Applicable,ML81549568,,,Fountain Grass,268,Terrace,777000,5,2,2,2,0,1300,,Fremont,8
Sold,Not Applicable,ML81498635,,,Reston,3931,Court,775000,50,2,4,2,0,1820,2500,South San Francisco,43
Sold,Court Confirmation May Be Req'd,ML81499413,,,Rocca,524,Avenue,775000,33,3,3,2,1,1140,6188,South San Francisco,59
Sold,Not Applicable,ML81501191,,,Lorton,30,,775000,91,2,2,2,0,1219,,Burlingame,29
Sold,Not Applicable,ML81501404,,,Del Mar,535,Avenue,775000,9,1,3,1,0,980,5270,Pacifica,68
Sold,New Subdivision,ML81512047,,,Wildwood,419,Drive,775000,12,1,3,1,0,1550,6419,South San Francisco,65
Sold,Not Applicable,ML81512869,,,Kent,3812,Way,775000,20,2,3,2,0,1500,2425,South San Francisco,44
Sold,Not Applicable,ML81513031,,,Hygelund,38920,Drive,775000,13,2,3,2,0,1180,6845,Fremont,55
Sold,Not Applicable,ML81513905,,,Skyline,785,Drive,775000,7,2,4,2,0,1293,3400,Daly City,57
Sold,Not Applicable,ML81515859,,,Picardo,23,Court,775000,41,2,3,2,0,1490,7680,Pacifica,46
Sold,Not Applicable,ML81519073,,,Vista del Mar,2359,,775000,36,2,2,2,0,1211,77853,San Mateo,29
Sold,,ML81520796,,,SCENIC,10,Way,775000,22,2,2,2,0,1138,,San Mateo,41
Sold,Not Applicable,ML81533253,,,Forest Lake,656,Drive,775000,28,2,3,1,1,1260,4000,Pacifica,51
Sold,Not Applicable,ML81547899,,,Navarre,624,Drive,775000,8,1,3,1,0,1040,5000,Pacifica,62
Sold,Not Applicable,ML81501131,,,Elfin,112,Court,772000,79,2,3,2,0,1550,39677,Brisbane,16
Sold,Not Applicable,ML81513123,,,Lake Huron,33031,Street,772000,10,3,4,2,1,1651,3354,Fremont,44
Sold,Not Applicable,ML81535032,,,Pulgas,2398,Avenue,771000,9,2,3,2,0,1370,6969.6,East Palo Alto,97
Sold,Not Applicable,ML81497530,,,Swallowtail,221,Court,770000,47,2,3,2,0,1520,0,Brisbane,15
Sold,Not Applicable,ML81499519,,,Shelley,36362,Court,770000,89,2,4,2,0,1908,6000,Newark,44
Sold,Not Applicable,ML81500475,,,Red Hawk,142,Court,770000,19,2,2,2,0,1413,50518,Brisbane,16
Sold,Not Applicable,ML81501188,,,Erin,25,Lane,770000,94,3,2,2,1,1400,984,Half Moon Bay,18
Sold,REO / Bank Owned Property,ML81513914,,,Winchester,159,Street,770000,12,3,4,3,0,1740,2475,Daly City,88
Sold,Not Applicable,ML81514077,,,Grandview,89,Avenue,770000,12,2,3,2,0,1130,3465,Daly City,57
Sold,Not Applicable,ML81514174,,,Whittier,228,Street,770000,13,1,3,1,0,1470,4450,Daly City,67
Sold,Not Applicable,ML81514272,,,Leahy,601,Street,770000,28,2,3,2,0,1555,32319,Redwood City,40
Sold,Not Applicable,ML81518531,,,Tan Oak,5941,Drive,770000,25,4,3,3,1,1481,,Fremont,8
Sold,Not Applicable,ML81519012,,,Maddux,918,Drive,770000,8,1,2,1,0,940,3300,Daly City,61
Sold,Not Applicable,ML81519096,,,Village,11,Lane,770000,19,1,3,1,0,1120,5408,Daly City,68
Sold,Not Applicable,ML81520046,,,Leon,4817,Court,770000,21,2,3,2,0,1448,6404,Fremont,54
Sold,Not Applicable,ML81533418,,,Bell,438,Street,770000,33,1,2,1,0,1010,13250,East Palo Alto,76
Sold,Not Applicable,ML81533867,,,La Mesa,3352,Drive,770000,9,2,2,2,0,1040,100,San Carlos,43
Sold,Not Applicable,ML81534359,,,Seacrest,25,Court,770000,25,2,3,2,0,1870,3885,Daly City,50
