Monroe Middle,Middle School ,784,5,1055 South Monroe Street,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Samuel Stipe Elementary,Elementary School,786,4,5000 Lyng Drive,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
San Antonio Elementary,Elementary School,786,4,1721 East San Antonio Street,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
Downtown College Prep - Alum Rock,Middle School ,787,5,1250 South King Road,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
John Muir Middle,Middle School,787,5,1260 Branham Lane,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Juan Cabrillo Middle,Middle School,787,5,2550 Cabrillo Avenue,Santa Clara,Santa Clara County,CA,-1.22E+02,3.74E+01
Martin Murphy Middle,Middle School,787,5,141 Avenida Espana,San Jose,Santa Clara County,CA,-1.22E+02,3.72E+01
Bowers Elementary,Elementary School,788,4,2755 Barkley Avenue,Santa Clara,Santa Clara County,CA,-1.22E+02,3.74E+01
Del Roble Elementary,Elementary School,788,4,5345 Avenida Almendros,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
South Valley Middle,Middle School,788,5,385 Ioof Avenue,Gilroy,Santa Clara County,CA,-1.22E+02,3.70E+01
Barrett Elementary,Elementary School,789,4,895 Barrett Avenue,Morgan Hill,Santa Clara County,CA,-1.22E+02,3.71E+01
Silicon Valley Flex Academy,Middle School ,789,5,610 Jarvis Drive,Morgan Hill,Santa Clara County,CA,-1.22E+02,3.71E+01
Anthony P. Russo Academy,Elementary School,791,4,2851 Gay Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
Piedmont Middle,Middle School,791,5,955 Piedmont Road,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
Rocketship Discovery Prep,Elementary School ,791,4,370 Wooster Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
Ann Sobrato High,High School,793,7,401 Burnett Avenue,Morgan Hill,Santa Clara County,CA,-1.22E+02,3.72E+01
Middle College High,High School,793,7,2101 Moorpark Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Prospect High,High School,793,7,18900 Prospect Road,Saratoga,Santa Clara County,CA,-1.22E+02,3.73E+01
Rocketship Los Suenos Academy,Elementary School ,793,4,331 South 34th Street,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Silver Creek High,High School,793,7,3434 Silver Creek Road,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Alex Anderson Elementary,Elementary School,794,5,5800 Calpine Drive,San Jose,Santa Clara County,CA,-1.22E+02,3.72E+01
JAMM Jackson Academy of Music and Math,Elementary School,794,,2700 Fountain Oaks Drive,Morgan Hill,Santa Clara County,CA,-1.22E+02,3.71E+01
Valle Vista Elementary,Elementary School,794,5,2400 Flint Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Horace Cureton Elementary,Elementary School,795,5,3720 East Hills Drive,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
Lyndale Elementary,Elementary School,795,5,13901 Nordyke Drive,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
Orchard Elementary,Elementary School,796,5,921 Fox Lane,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
Westmont High,High School,796,7,4805 Westmont Avenue,Campbell,Santa Clara County,CA,-1.22E+02,3.73E+01
Clyde Arbuckle Elementary,Elementary School,797,5,1970 Cinderella Lane,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Washington Elementary,Elementary School,799,5,100 Oak Street,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
O. B. Whaley Elementary,Elementary School,800,5,2655 Alvin Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Robert F. Kennedy Elementary,Elementary School,800,5,1602 Lucretia Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Christopher High,High School,801,7,850 Day Road,Gilroy,Santa Clara County,CA,-1.22E+02,3.70E+01
Briarwood Elementary,Elementary School,802,5,1930 Townsend Avenue,Santa Clara,Santa Clara County,CA,-1.22E+02,3.74E+01
Lewis H. Britton Middle,Middle School,802,6,80 West Central Avenue,Morgan Hill,Santa Clara County,CA,-1.22E+02,3.71E+01
Buchser Middle,Middle School,804,6,1111 Bellomy Street,Santa Clara,Santa Clara County,CA,-1.22E+02,3.73E+01
Montague Elementary,Elementary School,804,5,750 Laurie Avenue,Santa Clara,Santa Clara County,CA,-1.22E+02,3.74E+01
Pomeroy Elementary,Elementary School,804,5,1250 Pomeroy Avenue,Santa Clara,Santa Clara County,CA,-1.22E+02,3.73E+01
Rucker Elementary,Elementary School,804,5,325 Santa Clara Avenue,Gilroy,Santa Clara County,CA,-1.22E+02,3.71E+01
Alexander Rose Elementary,Elementary School,805,5,250 Roswell Drive,Milpitas,Santa Clara County,CA,-1.22E+02,3.74E+01
Crittenden Middle,Middle School,805,6,1701 Rock Street,Mountain View,Santa Clara County,CA,-1.22E+02,3.74E+01
Linda Vista Elementary,Elementary School,805,5,100 Kirk Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
Terrell Elementary,Elementary School,805,5,3925 Pearl Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Theuerkauf Elementary,Elementary School,805,5,1625 San Luis Avenue,Mountain View,Santa Clara County,CA,-1.22E+02,3.74E+01
Almaden Elementary,Elementary School,807,5,1295 Dentwood Drive,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Braly Elementary,Elementary School,807,5,675 Gail Avenue,Sunnyvale,Santa Clara County,CA,-1.22E+02,3.74E+01
El Roble Elementary,Elementary School,808,5,930 3rd Street,Gilroy,Santa Clara County,CA,-1.22E+02,3.70E+01
Lynhaven Elementary,Elementary School ,808,5,881 Cypress Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
O. S. Hubbard Elementary,Elementary School,808,5,1745 June Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Rocketship Alma Academy,Elementary School ,809,5,198 West Alma Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Success Academy,Elementary School,809,5,1240 Taper Lane,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Branham High,High School,810,8,1570 Branham Lane,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Leroy Anderson Elementary,Elementary School,810,5,4000 Rhoda Drive,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Castlemont Elementary,Elementary School ,811,5,3040 Payne Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Sylvia Cassell Elementary,Elementary School,811,5,1300 Tallahassee Drive,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Thomas P. Ryan Elementary,Elementary School,811,5,1241 McGinness Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Willow Glen Middle,Middle School,811,6,2105 Cottle Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Julia Baldwin Elementary,Elementary School,812,6,280 Martinvale Lane,San Jose,Santa Clara County,CA,-1.22E+02,3.72E+01
Adelante Dual Language Academy,Elementary School,813,6,2999 Ridgemont Drive,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Anne Darling Elementary,Elementary School,813,6,333 North 33rd Street,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
Westwood Elementary,Elementary School,814,6,435 Saratoga Avenue,Santa Clara,Santa Clara County,CA,-1.22E+02,3.73E+01
Morrill Middle,Middle School,815,6,1970 Morrill Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
Earl Frost Elementary,Elementary School,816,6,530 Gettysburg Drive,San Jose,Santa Clara County,CA,-1.22E+02,3.72E+01
George V. LeyVa Intermediate,Middle School,817,6,1865 Monrovia Drive,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Brownell Middle,Middle School,820,6,7800 Carmel Street,Gilroy,Santa Clara County,CA,-1.22E+02,3.70E+01
Hayes Elementary,Elementary School,820,6,5035 Poston Drive,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
John J. Montgomery Elementary,Elementary School,820,6,2010 Daniel Maloney Drive,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Learning in an Urban Community with High,Elementary School,820,6,1711 East San Antonio Street,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
Pioneer High,High School,822,8,1290 Blossom Hill Road,San Jose,Santa Clara County,CA,-1.22E+02,3.72E+01
Cesar Chavez Elementary,Elementary School,823,6,2000 Kammerer Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Los Paseos Elementary,Elementary School,823,6,121 Avenida Grande,San Jose,Santa Clara County,CA,-1.22E+02,3.72E+01
Summit Public School: Rainier,High School ,823,8,1750 South White Road,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
River Glen,Elementary School,824,6,1088 Broadway Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Toyon Elementary,Elementary School,824,6,995 Bard Street,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
Ida Jew Academies,Elementary School ,825,6,1966 Flint Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Jeanne R. Meadows Elementary,Elementary School,825,6,1250 Taper Lane,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Cedar Grove Elementary,Elementary School,826,6,2702 Sugarplum Drive,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Windmill Springs Elementary,Elementary School,826,6,2880 Aetna Way,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Sherman Oaks Elementary,Elementary School ,827,6,1800 Fruitdale Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Alpha: Blanca Alvarado Middle,Middle School ,828,7,1601 Cunningham Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Ben Painter Elementary,Elementary School,828,6,500 Rough and Ready Road,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
G. W. Hellyer Elementary,Elementary School,828,6,725 Hellyer Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Kathryn Hughes Elementary,Elementary School,829,6,4949 Calle De Escuela,Santa Clara,Santa Clara County,CA,-1.22E+02,3.74E+01
Leonard Herman Intermediate,Middle School,829,7,5955 Blossom Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.72E+01
Milpitas High,High School,830,8,1285 Escuela Parkway,Milpitas,Santa Clara County,CA,-1.22E+02,3.75E+01
Bracher Elementary,Elementary School,831,6,2700 Chromite Drive,Santa Clara,Santa Clara County,CA,-1.22E+02,3.74E+01
Piedmont Hills High,High School,831,9,1377 Piedmont Road,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
Ellis Elementary,Elementary School,833,7,550 East Olive Avenue,Sunnyvale,Santa Clara County,CA,-1.22E+02,3.74E+01
Leigh High,High School,833,9,5210 Leigh Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.72E+01
Rosemary Elementary,Elementary School ,834,7,401 West Hamilton Avenue,Campbell,Santa Clara County,CA,-1.22E+02,3.73E+01
Mariano Castro Elementary,Elementary School,835,7,505 Escuela Avenue,Mountain View,Santa Clara County,CA,-1.22E+02,3.74E+01
C. W. Haman Elementary,Elementary School,836,7,865 Los Padres Boulevard,Santa Clara,Santa Clara County,CA,-1.22E+02,3.73E+01
Joseph Weller Elementary,Elementary School,836,7,345 Boulder Street,Milpitas,Santa Clara County,CA,-1.22E+02,3.75E+01
Oak Ridge Elementary,Elementary School,836,7,5920 Bufkin Drive,San Jose,Santa Clara County,CA,-1.22E+02,3.72E+01
Rocketship Si Se Puede Academy,Elementary School ,837,7,2249 Dobern Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
Cherrywood Elementary,Elementary School,838,7,2550 Greengate Drive,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
Donald J. Meyer Elementary,Elementary School,838,7,1824 Daytona Drive,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Dove Hill Elementary,Elementary School,838,7,1460 Colt Way,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Rocketship Mosaic Elementary,Elementary School ,838,7,950 Owsley Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Solorsano Middle,Middle School,840,7,undefined Grenache Way,Gilroy,Santa Clara County,CA,-1.22E+02,3.70E+01
Brooktree Elementary,Elementary School,841,7,1781 Olivetree Drive,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
George Mayne Elementary,Elementary School,841,7,5030 North 1st Street,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
Monta Loma Elementary,Elementary School,842,7,460 Thompson Avenue,Mountain View,Santa Clara County,CA,-1.22E+02,3.74E+01
Reed Elementary,Elementary School,843,7,1524 Jacob Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Renaissance Academy,Middle School,845,8,1720 Hopkins Drive,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Castillero Middle,Middle School,846,8,6384 Leyland Park Drive,San Jose,Santa Clara County,CA,-1.22E+02,3.72E+01
James McEntee Academy,Elementary School,846,7,2851 Gay Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
Parkview Elementary,Elementary School,846,7,330 Bluefield Drive,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Summit Public School: Tahoma,High School ,848,9,14271 Story Road,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
Fairwood Elementary,Elementary School,850,7,1110 Fairwood Avenue,Sunnyvale,Santa Clara County,CA,-1.22E+02,3.74E+01
Franklin Elementary,Elementary School,851,7,420 Tully Road,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Rocketship Mateo Sheedy Elementary,Elementary School ,851,7,788 Locust Street,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Ponderosa Elementary,Elementary School,852,7,804 Ponderosa Avenue,Sunnyvale,Santa Clara County,CA,-1.22E+02,3.74E+01
Renaissance at Mathson,Middle School,852,8,2050 Kammerer Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
Vinci Park Elementary,Elementary School,853,7,1311 Vinci Park Way,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
Paradise Valley/Machado Elementary,Elementary School,855,7,1400 La Crosse Drive,Morgan Hill,Santa Clara County,CA,-1.22E+02,3.71E+01
Rachel Carson Elementary,Elementary School,855,7,4245 Meg Drive,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
William Burnett Elementary,Elementary School,855,7,400 Fanyon Street,Milpitas,Santa Clara County,CA,-1.22E+02,3.74E+01
Edith Landels Elementary,Elementary School,856,7,115 West Dana Street,Mountain View,Santa Clara County,CA,-1.22E+02,3.74E+01
Ramblewood Elementary,Elementary School,856,7,1351 Lightland Road,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Rod Kelley Elementary,Elementary School,856,7,8755 Kern Avenue,Gilroy,Santa Clara County,CA,-1.22E+02,3.70E+01
Holly Oak Elementary,Elementary School,857,7,2995 Rossmore Way,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Rancho Milpitas Middle,Middle School,857,8,1915 Yellowstone Avenue,Milpitas,Santa Clara County,CA,-1.22E+02,3.74E+01
Schallenberger Elementary,Elementary School,858,8,1280 Koch Lane,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Fammatre Elementary,Elementary School ,860,8,2800 New Jersey Avenue,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Stonegate Elementary,Elementary School,860,8,2605 Gassmann Drive,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Summerdale Elementary,Elementary School,860,8,1100 Summerdale Drive,San Jose,Santa Clara County,CA,-1.22E+02,3.74E+01
Moreland Middle,Middle School,861,8,4600 Student Lane,San Jose,Santa Clara County,CA,-1.22E+02,3.73E+01
Mountain View High,High School,861,9,3535 Truman Avenue,Mountain View,Santa Clara County,CA,-1.22E+02,3.74E+01
