Active,Not Applicable,ML81562067,10075 Crescent Road,2988000,13,5,6,4,1,4262,15695,Cupertino,31
Active,Not Applicable,ML81561188,4039 2nd Street,2980000,19,4,4,3,1,2142,5438,Palo Alto,0
Pending,Not Applicable,ML81534638,16741 Loma Street,2950000,34,4,4,4,0,2866,5027,Los Gatos,0
Active,Not Applicable,ML81550650,2670 Paseo Robles ,2950000,24,7,6,4,3,6500,435600,San Martin,31
Active,Not Applicable,ML81563440,783 Fremont Avenue,2950000,5,5,7,5,0,3393,15000,Los Altos,64
Active,Not Applicable,ML81340025,4355 MONTEREY Road,2900000,847,8,7,7,1,6000,1797721,Gilroy,85
Active,Not Applicable,ML81545259,11041 Stevens Canyon Road,2900000,81,1,2,1,0,900,852033.6,Cupertino,71
Active,Not Applicable,ML81549758,15318 Elm Park,2899950,29,5,4,4,1,3637,47319.23,Monte Sereno,43
Active,Not Applicable,ML81562521,14224 Springer Avenue,2899888,11,6,6,5,1,5106,32277.96,Saratoga,31
Active,Not Applicable,ML81549867,112 Teresita Way,2899500,63,4,4,3,1,4190,39600,Los Gatos,50
Pending,Not Applicable,ML81561975,523 Deodara Drive,2898000,8,4,5,3,1,3374,14061.17,Los Altos,65
Active,Not Applicable,ML81562081,2420 Bryant Street,2898000,13,3,4,3,0,2500,6600,Palo Alto,81
Contingent,Not Applicable,ML81549091,139 Longmeadow Drive,2895000,23,4,4,3,1,3000,25382.41,Los Gatos,58
Contingent,Not Applicable,ML81550644,819 Morse Street,2895000,155,5,5,4,1,3828,12687,San Jose,79
Active,Not Applicable,ML81563379,140 Levin Avenue,2895000,5,4,5,3,1,2857,8097.8,Mountain View,5
Active,Not Applicable,ML81563443,466 Ruthven Avenue,2895000,5,1,2,1,0,1106,7000,Palo Alto,104
Active,Not Applicable,ML81548604,15826 Rica Vista Way,2889900,41,6,5,5,1,6541,58370.4,San Jose,8
Active,Not Applicable,ML81500989,20861 Almaden Road,2889000,201,2,3,2,0,1662,453459.6,San Jose,79
Active,Not Applicable,ML81563144,12340 NE Clayton Road,2888950,6,4,4,3,1,4000,1704502,San Jose,31
Active,Not Applicable,ML81463553,20545 Whispering Oaks Drive,2888000,279,7,4,4,3,5600,87991,San Jose,14
Active,Not Applicable,ML81562079,1090 Prouty Way,2880000,13,5,5,4,1,3238,7313.72,San Jose,0
Active,Not Applicable,ML81562979,19461 Crisp Avenue,2880000,7,3,5,3,0,2880,39432,Saratoga,43
Pending,Potential Short Sale / Lender Appr Required,ML81470490,24752 Olive Tree Lane,2875000,170,3,4,3,0,2642,49567,Los Altos Hills,52
Contingent,Not Applicable,ML81548884,400 Santa Rosa Drive,2875000,25,5,5,4,1,4628,50094,Los Gatos,29
Active,Not Applicable,ML81546788,6322 Tucker Drive,2860000,56,5,4,4,1,3970,8824,San Jose,0
Pending,Not Applicable,ML81546435,674 Jay Street,2850000,18,2,3,2,0,2022,13359,Los Altos,60
Pending,Not Applicable,ML81534820,15800 Loma Vista Avenue,2799000,40,6,5,5,1,5240,8141,Los Gatos,0
Contingent,Not Applicable,ML81549033,7295 Via Brezzo ,2799000,30,9,6,7,2,5866,138085.2,San Jose,24
Pending,Not Applicable,ML81549805,1095 Russell Avenue,2795000,42,4,5,3,1,2915,11552.11,Los Altos,63
Active,Not Applicable,ML81563006,20234 Edinburgh Drive,2788000,7,3,5,3,0,2940,12998.3,Saratoga,54
Active,Not Applicable,ML81563368,1514 Channing Avenue,2788000,6,3,6,3,0,2514,6037.42,Palo Alto,66
Contingent,Not Applicable,ML81522169,20752 Woodward Court,2750000,90,3,5,2,1,2691,14620,Saratoga,46
Pending,Not Applicable,ML81534887,107 Wilder Avenue,2750000,75,3,4,3,0,3000,7426.98,Los Gatos,105
Pending,Not Applicable,ML81561842,838 Cherrystone Drive,2750000,9,3,4,3,0,2752,8899.31,Los Gatos,55
Active,Not Applicable,ML81497924,0 Union Avenue,2744000,198,3,4,3,0,3500,14921,San Jose,0
Active,Not Applicable,ML81550844,12841 Foothill Lane,2699998,21,4,5,4,0,3544,38676.92,Saratoga,63
Pending,Not Applicable,ML81548190,2185 Eagle Hills Court,2699000,16,6,5,5,1,4486,38920.86,San Jose,17
Pending,Not Applicable,ML81550259,29 Los Altos Avenue,2699000,9,3,3,2,1,2011,9361.04,Los Altos,52
Pending,Not Applicable,ML81549184,1614 Parkhills Avenue,2698000,15,4,5,3,1,2729,11326,Los Altos,62
Contingent,Not Applicable,ML81550931,15820 Bruce Court,2698000,35,3,4,2,1,2770,9584,Monte Sereno,29
Pending,Not Applicable,ML81562314,25600 La Lanne Court,2698000,8,3,3,3,0,2220,42689,Los Altos Hills,59
Active,Not Applicable,ML81519222,19960 Almaden Road,2695000,144,1,2,1,0,1200,701326,San Jose,35
Contingent,Not Applicable,ML81521203,772 Colorado Avenue,2695000,106,1,2,1,0,767,9427,Palo Alto,64
Active,Not Applicable,ML81548671,4602 Hill Top View Lane,2695000,40,5,5,4,1,4639,10593.79,San Jose,13
Active,Not Applicable,ML81549896,14870 Las Flores Lane,2695000,28,4,5,4,0,3700,41615,Los Gatos,72
Active,Not Applicable,ML81562085,1791 Woodhaven Place,2695000,13,4,6,4,0,3107,4922.28,Mountain View,17
Active,Not Applicable,ML81562615,18628 Cox Avenue,2688000,11,4,5,3,1,3086,11562,Saratoga,4
Active,Not Applicable,ML81564108,19987 Moran Lane,2680000,1,3,4,2,1,3170,20201,Saratoga,40
Active,Not Applicable,ML81563265,5130 Eastbourne Drive,2650000,6,6,4,5,1,4500,19230,San Jose,17
Active,Not Applicable,ML81550288,833 La Para Avenue,2649000,26,3,5,3,0,1940,6899,Palo Alto,37
Pending,Not Applicable,ML81551048,22138 Berry Court,2638000,9,5,4,4,1,2923,7531,Cupertino,7
Pending,Not Applicable,ML81550051,3560 Whitsell Avenue,2600000,24,4,4,4,0,1935,5540.83,Palo Alto,9
Active,Not Applicable,ML81551146,2066 Sandalwood Court,2600000,20,2,4,2,0,1610,7841,Palo Alto,60
Pending,Not Applicable,ML81561812,116 NINA Court,2600000,10,3,4,3,0,3222,11521.62,Los Gatos,48
Active,Not Applicable,ML81551043,1570 Keesling Avenue,2599950,20,5,5,5,0,4000,9180,San Jose,0
Active,Not Applicable,ML81522308,740 Coastland Drive,2599000,118,2,3,2,0,1652,7089,Palo Alto,68
Active,Not Applicable,ML81563429,476 E Edith Avenue,2598000,5,2,3,2,0,1794,15613,Los Altos,65
Active,Not Applicable,ML81548153,15064 Kennedy Road,2590000,44,2,4,2,0,2364,536659.2,Los Gatos,66
Active,Not Applicable,ML81563932,14625 Golf Links Drive,2588000,1,3,5,3,0,2556,43777,Los Gatos,39
Contingent,Not Applicable,ML81546510,20711 Saint Charles Street,2585000,50,5,4,4,1,3491,4512.82,Saratoga,11
Pending,Not Applicable,ML81563209,7 Bay Tree Lane,2585000,3,2,2,2,0,2137,2704,Los Altos,44
Active,Not Applicable,ML81563324,15980 Escobar Avenue,2549000,25,4,4,4,0,4212,8001.97,Los Gatos,10
Pending,,ML81519227,3597 South Court,2500000,109,3,5,3,0,2177,7646,Palo Alto,63
Active,Not Applicable,ML81561732,1291 Petersen Court,2500000,15,3,5,3,0,2923,10219.18,Los Altos,54
Active,Not Applicable,ML81449088,8990 Marcella Avenue,2499000,400,4,4,3,1,4500,653400,Gilroy,14
Active,Not Applicable,ML81548924,14012 Palomino Way,2499000,38,3,3,2,1,3295,80586,Saratoga,31
Active,Not Applicable,ML81561886,16311 Paradise Valley Lane,2499000,14,3,4,2,1,3617,83199.6,Morgan Hill,29
Pending,Not Applicable,ML81549788,550 Sleeper Avenue,2498000,9,3,4,3,0,2961,10004,Mountain View,36
Active,Not Applicable,ML81551064,20211 Via Santa Teresa ,2498000,15,4,5,3,1,4413,95832,San Jose,53
Active,Not Applicable,ML81561754,20180 Sea Gull Way,2498000,15,4,4,3,1,3017,12000.78,Saratoga,11
Pending,Not Applicable,ML81562260,1554 Clay Drive,2498000,7,3,4,2,1,2591,10001.38,Los Altos,48
Active,Not Applicable,ML81563438,12645 La Cresta Drive,2498000,5,3,4,2,1,2654,72121,Los Altos Hills,56
Pending,Not Applicable,ML81549247,1537 Tiptoe Lane,2495000,8,3,4,3,0,2044,12632,Los Altos,60
Pending,Not Applicable,ML81549574,2257 Bryant Street,2495000,21,0,0,0,0,420,5248.98,Palo Alto,69
Active,Not Applicable,ML81562993,253 Vista Del Monte ,2495000,7,4,4,3,1,3045,9583,Los Gatos,56
Active,Not Applicable,ML81563407,2380 Tasso Street,2495000,5,2,3,2,0,1500,5000,Palo Alto,84
Active,Not Applicable,ML81550180,1257 Cherry Avenue,2488000,27,4,4,4,0,2917,6777.94,San Jose,3
Active,Not Applicable,ML81550847,5702 W Walbrook Drive,2488000,21,3,4,3,0,2402,7074.14,San Jose,11
Active,Not Applicable,ML81564010,1038 Johnson Avenue,2488000,1,4,4,3,1,2911,6660.32,San Jose,9
Active,Not Applicable,ML81562425,13297 Carrick Street,2480000,12,5,5,4,1,2970,10001.38,Saratoga,0
Active,Not Applicable,ML81521333,20765 Monte Sunset Drive,2450000,19,6,5,3,3,5800,128085,San Jose,36
Pending,Potential Short Sale / Lender Appr Required,ML81561363,3650 Pleasant Knoll Court,2420000,11,8,6,7,1,8449,481773.6,San Jose,14
Pending,Not Applicable,ML81435484,3581 BOURNEMOUTH Drive,2400000,59,1,2,1,0,1479,45450,San Jose,62
