Junipero Serra Elementary ,8," 151 Victoria St. Daly City, CA 94015 ",882, Elementary School
Summit Preparatory Charter High ,9," 890 Broadway Redwood City, CA 94063 ",845, High Schoolÿ
Aragon High ,9," 900 Alameda de Las Pulgas San Mateo, CA 94402 ",849, High School
McKinley Elementary ,9," 701 Paloma Ave. Burlingame, CA 94010 ",887, Elementary School
Cabrillo Elementary ,9," 601 Crespi Dr. Pacifica, CA 94044 ",889, Elementary School
North Shoreview Elementary ,9," 1301 Cypress Ave. San Mateo, CA 94401 ",889, Elementary School
Marjorie H. Tobias Elementary ,9," 725 Southgate Ave. Daly City, CA 94015 ",891, Elementary School
Brittan Acres Elementary ,9," 2000 Belle Ave. San Carlos, CA 94070 ",891, Elementary Schoolÿ
College Park Elementary ,9," 715-A Indian Ave. San Mateo, CA 94401 ",892, Elementary School
Washington Elementary ,9," 801 Howard Ave. Burlingame, CA 94010 ",895, Elementary School
Heather Elementary ,9," 2757 Melendy Dr. San Carlos, CA 94070 ",895, Elementary Schoolÿ
John Muir Elementary ,9," 130 Cambridge Ln. San Bruno, CA 94066 ",897, Elementary School
Green Hills Elementary ,9," 401 Ludeman Ln. Millbrae, CA 94030 ",898, Elementary School
Central Middle ,9," 828 Chestnut St. San Carlos, CA 94070 ",899, Middle School
Taylor Middle ,9," 850 Taylor Blvd. Millbrae, CA 94030 ",902, Middle School
Burlingame Intermediate ,9," 1715 Quesada Way Burlingame, CA 94010 ",903, Middle School
Audubon Elementary ,9," 841 Gull Ave. Foster City, CA 94404 ",903, Elementary School
Bowditch Middle ,9," 1450 Tarpon St. Foster City, CA 94404 ",905, Middle School
Ralston Intermediate ,9," 2675 Ralston Ave. Belmont, CA 94002 ",907, Middle School
Spring Valley Elementary ,9," 817 Murchison Dr. Millbrae, CA 94030 ",907, Elementary School
Cipriani Elementary ,9," 2525 Buena Vista Belmont, CA 94002 ",910, Elementary School
Monte Verde Elementary ,9," 2551 St. Cloud Dr. San Bruno, CA 94066 ",913, Elementary School
Fox Elementary ,9," 3100 Saint James Rd. Belmont, CA 94002 ",916, Elementary School
Burlingame High ,10," 1 Mangini Way Burlingame, CA 94010 ",870, High School
Mills High ,10," 400 Murchison Dr. Millbrae, CA 94030 ",871, High School
Carlmont High ,10," 1400 Alameda de Las Pulgas Belmont, CA 94002 ",878, High School
Roosevelt Elementary ,10," 1151 Vancouver Ave. Burlingame, CA 94010 ",917, Elementary School
Lincoln Elementary ,10," 1801 Devereux Dr. Burlingame, CA 94010 ",918, Elementary School
San Carlos Charter Learning Center ,10," 750 Dartmouth Ave. San Carlos, CA 94070 ",919, Elementary Schoolÿ
White Oaks Elementary ,10," 1901 White Oak Way San Carlos, CA 94070 ",922, Elementary Schoolÿ
Ormondale Elementary ,10," 200 Shawnee Pass Portola Valley, CA 94028 ",923, Elementary School
Tierra Linda Middle ,10," 750 Dartmouth Ave. San Carlos, CA 94070 ",926, Middle Schoolÿ
Laurel Elementary ,10," 95 Edge Rd. Atherton, CA 94027 ",927, Elementary School
Meadows Elementary ,10," 1101 Helen Dr. Millbrae, CA 94030 ",928, Elementary School
