Alfred S. Madrid Middle,3300 Gilman Rd.,El Monte,CA,91732,Los Angeles,-118.00994,34.061965
Alhambra High,101 South Second St.,Alhambra,CA,91801,Los Angeles,-118.1297,34.095262
Alhambra Senior High,150 E St.,Martinez,CA,94553,Contra Costa,-122.13371,38.002496
Alianza Charter,115 Casserly Rd.,Watsonville,CA,95076,Santa Cruz,-121.73065,36.960556
Alicante Avenue Elementary,7998 Alicante Ave.,Lamont,CA,93241,Kern,-118.91495,35.261301
Alice Birney Elementary,717 South Ave.,Eureka,CA,95503,Humboldt,-124.17795,40.776837
Alice Birney Elementary,1050 East Olive St.,Colton,CA,92324,San Bernardino,-117.31108,34.078387
Alice Birney Waldorf-Inspired,6251 13th St.,Sacramento,CA,95831,Sacramento,-121.51023,38.512179
Alice C. Stelle Middle,22450 Mulholland Hwy.,Calabasas,CA,91302,Los Angeles,-118.61471,34.143277
Alice M. Ellington Elementary,5034 North Clydebank,Covina,CA,91722,Los Angeles,-117.92108,34.103441
Alice N. Stroud Elementary,815 Frazine Rd.,Modesto,CA,95357,Stanislaus,-120.91195,37.653024
Alice Shaw Elementary,759 Dahlia Pl.,Santa Maria,CA,93455,Santa Barbara,-120.426,34.888864
Alicia Cortez Elementary,12750 Carissa Ave.,Chino,CA,91710,San Bernardino,-117.66984,34.022007
Alicia Reyes Elementary,123 South N St.,Merced,CA,95340,Merced,-120.49497,37.28666
Alila,850 West Washington Ave.,Earlimart,CA,93219,Tulare,-119.26885,35.884761
Alisal Community,1437 Del Monte Ave.,Salinas,CA,93905,Monterey,-121.60498,36.682039
Alisal Elementary,1454 Santa Rita Rd.,Pleasanton,CA,94566,Alameda,-121.87207,37.672366
Alisal High,777 Williams Rd.,Salinas,CA,93905,Monterey,-121.59821,36.684786
Aliso Elementary,4545 Carpinteria Ave.,Carpinteria,CA,93013,Santa Barbara,-119.52643,34.401778
Aliso Niguel High,28000 Wolverine Way,Aliso Viejo,CA,92656,Orange,-117.72094,33.561374
Aliso Viejo Middle,111 Park Ave.,Aliso Viejo,CA,92656,Orange,-117.71333,33.580713
All Tribes Charter,34320 Valley Center Rd.,Valley Center,CA,92082,San Diego,-116.95371,33.277583
All Tribes Elementary Charter,"34320 Valley Center Rd., Ste. B",Valley Center,CA,92082,San Diego,-116.95371,33.277583
Allan Orrenmaa Elementary,3350 Fillmore St.,Riverside,CA,92503,Riverside,-117.47775,33.892009
Allan Peterson Elementary,848 East Donna Dr.,Merced,CA,95340,Merced,-120.46173,37.328499
Allen (Decima M.) Elementary,875 West Angus Ave.,San Bruno,CA,94066,San Mateo,-122.4156,37.6243
Allen (Ella B.) Elementary,4300 Allen School Rd.,Bonita,CA,91902,San Diego,-117.03358,32.656765
Allen at Steinbeck,820 Steinbeck Dr.,San Jose,CA,95123,Santa Clara,-121.85641,37.247281
Allen Avenue Elementary,740 East Allen Ave.,San Dimas,CA,91773,Los Angeles,-117.7927,34.11751
Allendale Elementary,3670 Penniman Ave.,Oakland,CA,94619,Alameda,-122.20516,37.788642
Allensworth Elementary,3320 Young Rd.,Allensworth,CA,93219,Tulare,-119.39068,35.864487
Allesandro Elementary,2210 Riverside Dr.,Los Angeles,CA,90039,Los Angeles,-118.2509,34.101203
Alliance 6-12 College-Ready Academy #21,8926 Sunland Blvd.,Sun Valley,CA,91352,Los Angeles,-118.3662,34.231474
Alliance Academy,1800 98th Ave.,Oakland,CA,94603,Alameda,-122.16609,37.746372
Alliance Alice M. Baxter College-Ready High,461 West 9th St.,San Pedro,CA,90731,Los Angeles,-118.28715,33.735787
Alliance Cindy and Bill Simon Technology Academy High,10720 South Wilmington Ave.,Los Angeles,CA,90059,Los Angeles,-118.23896,33.938477
Alliance College-Ready Academy High 16,1552 W. Rockwood St.,Los Angeles,CA,90026,Los Angeles,-118.26153,34.063479
Alliance College-Ready Middle Academy 12,100 East 49th St.,Los Angeles,CA,90011,Los Angeles,-118.27359,33.998063
Alliance College-Ready Middle Academy 4,9719 South Main St.,Los Angeles,CA,90003,Los Angeles,-118.27422,33.947773
Alliance College-Ready Middle Academy 5,211 South Avenue 20,Los Angeles,CA,90031,Los Angeles,-118.22002,34.072418
Alliance College-Ready Middle Academy 8,3651 East First St.,Los Angeles,CA,90031,Los Angeles,-118.18733,34.036392
Alliance Collins Family College-Ready High,2071 Saturn Ave.,Huntington Park,CA,90255,Los Angeles,-118.23413,33.976919
Alliance Dr. Olga Mohan High,644 West 17th St.,Los Angeles,CA,90015,Los Angeles,-118.27125,34.03659
Alliance Gertz-Ressler Richard Merkin 6-12 Complex,2023 South Union Ave.,Los Angeles,CA,90007,Los Angeles,-118.28256,34.036313
Alliance Health Services Academy High,12226 South Western Ave.,Los Angeles,CA,90047,Los Angeles,-118.30786,33.92109
Alliance Jack H. Skirball Middle,603 East 115th St.,Los Angeles,CA,90059,Los Angeles,-118.26361,33.930161
Alliance Judy Ivie Burton Technology Academy High,10101 South Broadway,Los Angeles,CA,90003,Los Angeles,-118.27849,33.944203
Alliance Kory Hunter Middle,5886 Compton Ave.,Los Angeles,CA,90001,Los Angeles,-118.24738,33.987113
Alliance Leadership Middle Academy,2941 West 70th St.,Los Angeles,CA,90043,Los Angeles,-118.32575,33.97709
Alliance Leichtman-Levine Family Foundation Environmental Science High,2930 Fletcher Dr.,Los Angeles,CA,90065,Los Angeles,-118.24692,34.113837
Alliance Marc & Eva Stern Math and Science,"5151 State University Dr., Lot 2",Los Angeles,CA,90032,Los Angeles,-118.1716,34.062369
Alliance Margaret M. Bloomfield Technology Academy High,7907 Santa Fe Ave.,Huntington Park,CA,90255,Los Angeles,-118.23061,33.967152
Alliance Morgan McKinzie High,113 South Rowan Ave.,Los Angeles,CA,90063,Los Angeles,-118.18731,34.035463
Alliance Ouchi-O'Donovan 6-12 Complex,5356 South Fifth Ave.,Los Angeles,CA,90043,Los Angeles,-118.32246,33.993484
Alliance Patti And Peter Neuwirth Leadership Academy,4610 South Main St.,Los Angeles,CA,90037,Los Angeles,-118.27383,34.001568
Alliance Renee and Meyer Luskin Academy High,2941 West 70th St.,Los Angeles,CA,90043,Los Angeles,-118.32575,33.97709
Alliance Susan and Eric Smidt Technology High,211 South Avenue 20,Los Angeles,CA,90031,Los Angeles,-118.22022,34.072368
Alliance Tennenbaum Family Technology High,2050 San Fernando Rd.,Los Angeles,CA,90065,Los Angeles,-118.44949,34.290459
Allison Elementary,1011 Russell Pl.,Pomona,CA,91767,Los Angeles,-117.73182,34.07768
Alma Preschool,4400 Alma Ave.,Castro Valley,CA,94546,Alameda,-122.07038,37.707693
Almaden Elementary,1295 Dentwood Dr.,San Jose,CA,95118,Santa Clara,-121.88411,37.250931
Almanor High (Continuation),612 First St.,Chester,CA,96020,Plumas,-121.23109,40.302553
Almeria Middle,7723 Almeria Ave.,Fontana,CA,92336,San Bernardino,-117.46017,34.112978
Almond Acres Charter Academy,1601 L St.,San Miguel,CA,93451,San Luis Obispo,-120.69685,35.755645
Almond Elementary,8172 Almond Ave.,Fontana,CA,92335,San Bernardino,-117.49314,34.105152
Almond Elementary,550 Almond Ave.,Los Altos,CA,94022,Santa Clara,-122.10179,37.384953
Almond Grove Elementary,5000 Amaryllis St.,Oakley,CA,94561,Contra Costa,-121.72528,37.974834
Almond Tree Middle,200 West 15th Ave.,Delano,CA,93215,Kern,-119.26083,35.773938
Almondale Elementary,10510 Chippewa St.,Bakersfield,CA,93312,Kern,-119.11913,35.406829
