Active,Not Applicable,ML81517829,15374 Madrone Hill Road,5200000,154,7,7,6,1,7179,+9.17750000000000E+004,Saratoga,7,-1.22027100000000E+002,+3.72446510000000E+001
Contingent,Not Applicable,ML81546010,16260 Los Serenos Robles,5150898,73,4,4,4,0,4926,+5.00940000000000E+004,Los Gatos,35,-1.22005323000000E+002,+3.72305960000000E+001
Active,Not Applicable,ML81562939,38 Alpine Avenue,5145000,7,6,5,5,1,4800,+2.16711000000000E+004,Los Gatos,16,-1.21973525000000E+002,+3.72195320000000E+001
Active,New Subdivision,ML81468052,15630 Shady Lane,5065000,24,7,5,6,1,7102,+1.08028000000000E+005,Los Gatos,0,-1.21938775300000E+002,+3.72295632000000E+001
Active,Not Applicable,ML81551028,28001 Arastradero Road,4998000,20,6,5,5,1,6025,+4.65830600000000E+004,Los Altos Hills,25,-1.22166386000000E+002,+3.73844730000000E+001
Active,Not Applicable,ML81562925,2140 Bryant Street,4998000,7,4,4,4,0,2477,+1.00013800000000E+004,Palo Alto,79,-1.22141420000000E+002,+3.74327260000000E+001
Active,Not Applicable,ML81551145,26856 Almaden Court,4990000,20,6,5,5,1,5098,+4.48660000000000E+004,Los Altos Hills,20,-1.22150072000000E+002,+3.73642690000000E+001
Active,Not Applicable,ML81550406,2577 Ramona,4980000,26,7,9,6,1,5027,+8.07000000000000E+003,Palo Alto,10,-1.22135867000000E+002,+3.74285120000000E+001
Pending,Not Applicable,ML81469001,15588 Shady Lane,4975000,195,7,5,6,1,7638,+6.19000000000000E+004,Los Gatos,0,-1.21938775300000E+002,+3.72295632000000E+001
Pending,Not Applicable,ML81437786,15615 SHADY Lane,4930000,425,6,5,5,1,7031,+8.07300000000000E+004,Los Gatos,0,-1.21938775300000E+002,+3.72295632000000E+001
Active,Not Applicable,ML81514341,14390 Douglass Lane,4900000,178,6,5,5,1,7200,+6.53400000000000E+004,Saratoga,17,-1.22022416000000E+002,+3.72593480000000E+001
Active,Not Applicable,ML81561184,2350 Tasso Street,4895000,47,5,5,4,1,3418,+5.00000000000000E+003,Palo Alto,0,-1.22135745000000E+002,+3.74341540000000E+001
Active,Not Applicable,ML81563366,16290 Lucky Road,4888888,6,7,7,6,1,5450,+2.83140000000000E+005,Monte Sereno,116,-1.22003241000000E+002,+3.72303790000000E+001
Active,,ML81550109,11860 Francemont Drive,4888000,27,6,6,6,0,5565,+4.02840000000000E+004,Los Altos Hills,10,-1.22139464000000E+002,+3.73527810000000E+001
Active,Not Applicable,ML81551024,27860 Via Corita Way,4888000,20,5,4,4,1,4997,+4.44312000000000E+004,Los Altos Hills,19,-1.22152526400000E+002,+3.73710473000000E+001
Active,Not Applicable,ML81564065,15270 Oak Ridge Way,4800000,1,4,4,3,1,4638,+2.17850000000000E+004,Los Gatos,12,-1.21969332000000E+002,+3.72463880000000E+001
Active,Not Applicable,ML81521533,725 Center Drive,4775000,125,5,5,4,1,3424,+9.37600000000000E+003,Palo Alto,29,-1.22142883000000E+002,+3.74531660000000E+001
Active,Not Applicable,ML81545794,15260 Pepper Lane,4690000,66,3,6,3,0,3600,+5.18364000000000E+004,Saratoga,66,-1.22018713000000E+002,+3.72466590000000E+001
Pending,Not Applicable,ML81549101,19750 Glen Una Drive,4550000,23,5,4,3,2,4225,+6.05484000000000E+004,Los Gatos,64,-1.22018248000000E+002,+3.72422010000000E+001
Active,Not Applicable,ML81563373,2020 Webster Street,4500000,6,3,4,3,0,2212,+6.93040000000000E+003,Palo Alto,79,-1.22139307000000E+002,+3.74374330000000E+001
Active,Not Applicable,ML81499976,20784 Via Corta,4499000,207,3,4,3,0,2719,+5.64232000000000E+005,San Jose,36,-1.21819719000000E+002,+3.72172600000000E+001
Active,Not Applicable,ML81551027,14303 Saddle Mountain Drive,4498000,20,4,4,3,1,4895,+4.96584000000000E+004,Los Altos Hills,33,-1.22157366000000E+002,+3.73844520000000E+001
Active,Not Applicable,ML81548291,20901 Sarahills Drive,4288000,43,6,5,5,1,4590,+4.11210000000000E+004,Saratoga,47,-1.22039411000000E+002,+3.72709850000000E+001
